REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Age_group
2018,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Average annual wages and salaries,Dollars,units,14681.0,True,False,False,False,False,20
2018,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Average annual wages and salaries,Dollars,units,38572.0,True,False,False,False,False,30
2018,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Average annual wages and salaries,Dollars,units,49193.0,True,False,False,False,False,40
2018,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Average annual wages and salaries,Dollars,units,54566.0,True,False,False,False,False,50
2018,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Average annual wages and salaries,Dollars,units,52911.0,True,False,False,False,False,60
2018,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Average annual wages and salaries,Dollars,units,34147.0,True,False,False,False,False,70
2018,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Average annual wages and salaries,Dollars,units,14367.0,True,False,False,False,False,20
2018,2016A000248,Non-profit institutions serving households (community organizations),25 to 34 years,Average annual wages and salaries,Dollars,units,36398.0,True,False,False,False,False,30
2018,2016A000248,Non-profit institutions serving households (community organizations),35 to 44 years,Average annual wages and salaries,Dollars,units,45444.0,True,False,False,False,False,40
2018,2016A000248,Non-profit institutions serving households (community organizations),45 to 54 years,Average annual wages and salaries,Dollars,units,50358.0,True,False,False,False,False,50
2018,2016A000248,Non-profit institutions serving households (community organizations),55 to 64 years,Average annual wages and salaries,Dollars,units,49143.0,True,False,False,False,False,60
2018,2016A000248,Non-profit institutions serving households (community organizations),65 years old and over,Average annual wages and salaries,Dollars,units,32526.0,True,False,False,False,False,70
2018,2016A000248,Business non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,15440.0,True,False,False,False,False,20
2018,2016A000248,Business non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,44914.0,True,False,False,False,False,30
2018,2016A000248,Business non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,60894.0,True,False,False,False,False,40
2018,2016A000248,Business non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,67999.0,True,False,False,False,False,50
2018,2016A000248,Business non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,65159.0,True,False,False,False,False,60
2018,2016A000248,Business non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,39810.0,True,False,False,False,False,70
2018,2016A000248,Government non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,21192.0,True,False,False,False,False,20
2018,2016A000248,Government non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,46600.0,True,False,False,False,False,30
2018,2016A000248,Government non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,60371.0,True,False,False,False,False,40
2018,2016A000248,Government non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,68316.0,True,False,False,False,False,50
2018,2016A000248,Government non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,66414.0,True,False,False,False,False,60
2018,2016A000248,Government non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,49613.0,True,False,False,False,False,70
2013,2016A000259,Total non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,15074.0,False,True,False,False,False,20
2013,2016A000259,Total non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,36228.0,False,True,False,False,False,30
2013,2016A000259,Total non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,48778.0,False,True,False,False,False,40
2013,2016A000259,Total non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,53900.0,False,True,False,False,False,50
2013,2016A000259,Total non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,51814.0,False,True,False,False,False,60
2013,2016A000259,Total non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,32465.0,False,True,False,False,False,70
2013,2016A000259,Total non-profit institutions excluding governments,15 to 24 years,Average annual wages and salaries,Dollars,units,12356.0,False,True,False,False,False,20
2013,2016A000259,Total non-profit institutions excluding governments,25 to 34 years,Average annual wages and salaries,Dollars,units,30909.0,False,True,False,False,False,30
2013,2016A000259,Total non-profit institutions excluding governments,35 to 44 years,Average annual wages and salaries,Dollars,units,41083.0,False,True,False,False,False,40
2013,2016A000259,Total non-profit institutions excluding governments,45 to 54 years,Average annual wages and salaries,Dollars,units,45218.0,False,True,False,False,False,50
2013,2016A000259,Total non-profit institutions excluding governments,55 to 64 years,Average annual wages and salaries,Dollars,units,42711.0,False,True,False,False,False,60
2013,2016A000259,Total non-profit institutions excluding governments,65 years old and over,Average annual wages and salaries,Dollars,units,24334.0,False,True,False,False,False,70
2013,2016A000259,Non-profit institutions serving households (community organizations),15 to 24 years,Average annual wages and salaries,Dollars,units,12279.0,False,True,False,False,False,20
2013,2016A000259,Non-profit institutions serving households (community organizations),25 to 34 years,Average annual wages and salaries,Dollars,units,29557.0,False,True,False,False,False,30
2013,2016A000259,Non-profit institutions serving households (community organizations),35 to 44 years,Average annual wages and salaries,Dollars,units,38594.0,False,True,False,False,False,40
2013,2016A000259,Non-profit institutions serving households (community organizations),45 to 54 years,Average annual wages and salaries,Dollars,units,42584.0,False,True,False,False,False,50
2013,2016A000259,Non-profit institutions serving households (community organizations),55 to 64 years,Average annual wages and salaries,Dollars,units,40437.0,False,True,False,False,False,60
2013,2016A000259,Non-profit institutions serving households (community organizations),65 years old and over,Average annual wages and salaries,Dollars,units,23256.0,False,True,False,False,False,70
2013,2016A000259,Business non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,12499.0,False,True,False,False,False,20
2013,2016A000259,Business non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,34643.0,False,True,False,False,False,30
2013,2016A000259,Business non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,48617.0,False,True,False,False,False,40
2013,2016A000259,Business non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,53242.0,False,True,False,False,False,50
2013,2016A000259,Business non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,50098.0,False,True,False,False,False,60
2013,2016A000259,Business non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,28071.0,False,True,False,False,False,70
2013,2016A000259,Government non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,17340.0,False,True,False,False,False,20
2013,2016A000259,Government non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,39003.0,False,True,False,False,False,30
2013,2016A000259,Government non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,52732.0,False,True,False,False,False,40
2013,2016A000259,Government non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,58123.0,False,True,False,False,False,50
2013,2016A000259,Government non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,56666.0,False,True,False,False,False,60
2013,2016A000259,Government non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,38178.0,False,True,False,False,False,70
