REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2015,2016A000212,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,34805.0,False,False,True,False,False,1
2015,2016A000212,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,30083.0,False,False,True,False,False,0
2015,2016A000212,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,43305.0,False,False,True,False,False,1
2015,2016A000212,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,33676.0,False,False,True,False,False,0
2015,2016A000212,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,51249.0,False,False,True,False,False,1
2015,2016A000212,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,45613.0,False,False,True,False,False,0
2016,2016A000212,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,46841.0,False,False,True,False,False,1
2016,2016A000212,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,42050.0,False,False,True,False,False,0
2016,2016A000212,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,36761.0,False,False,True,False,False,1
2016,2016A000212,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,30208.0,False,False,True,False,False,0
2016,2016A000212,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,34558.0,False,False,True,False,False,1
2016,2016A000212,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,29516.0,False,False,True,False,False,0
2016,2016A000212,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,42440.0,False,False,True,False,False,1
2016,2016A000212,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,33527.0,False,False,True,False,False,0
2016,2016A000212,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,51675.0,False,False,True,False,False,1
2016,2016A000212,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,46102.0,False,False,True,False,False,0
2017,2016A000212,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,46767.0,False,False,True,False,False,1
2017,2016A000212,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,42230.0,False,False,True,False,False,0
